Team.ID,In.Out.S3,In.Out.S4,Team_____________,MTPerf,FINPerf,Familiarity,KS1,KS2,CU1,Influence,CU2,TI,GI,TO,IC,EC,Comm,Plan,Items_____________,RATER.KS1.1_mean,RATER.KS1.2_mean,RATER.CU1.1_mean,RATER.CU1.2_mean,RATER.CU1.3_mean,RATER.CU1.4_mean,RATER.INFL.1_mean,RATER.INFL.2_mean,RATER.INFL.3_mean,RATER.INFL.4_mean,RATER.INFL.5_mean,RATER.KS2.1_mean,RATER.KS2.2_mean,RATER.CU2.1_mean,RATER.CU2.2_mean,RATER.CU2.3_mean,RATER.CU2.4_mean,t__TeamRef_mean,TI.1_mean,TI.2_mean,TI.3_mean,TI.4_mean,TI.5_mean,TI.3r_mean,GI.1_mean,GI.2_mean,GI.3_mean,TO.1_mean,TO.2_mean,TO.3_mean,TO.2r_mean,TO.3r_mean,CoDy.1_mean,CoDy.2_mean,CoDy.3_mean,CoDy.4_mean,CoDy.5_mean,CoDy.3r_mean,CoAnt.1_mean,CoAnt.2_mean,CoAnt.3_mean,CoAnt.4_mean,CoAnt.5_mean,Comm.1_mean,Comm.2_mean,Comm.3_mean,Comm.4_mean,Comm.5_mean,Comm.6_mean,Comm.6r_mean,Plan.1_mean,Plan.2_mean,Plan.3_mean,Plan.4_mean,Plan.5_mean,Plan.6_mean,filter_$,X,Y,M1,W1,M2,COV1
1123,1,1, ,86.67,90,1.25,3.20625,3.59375,3.265625,3.55,3.21875,3.56,4.333333333,4.2,3.425,2.8875,2.4,3.375, ,3.35,3.0625,3.625,3.5,3,2.9375,3.6875,3.9375,4.0625,3.1875,2.875,3.625,3.5625,3.125,3.3125,2.875,3.5625, ,4.6,4.2,3,2.6,3.4,3,4.2,4.2,4.6,4,4.4,2.666666667,1.6,3.2,4,3,3,3.75,4,3,3.75,2.5,2.75,3.75,3.75,3.25,2,2.75,2.5,1.5,4,2.5,4.5,4,4.5,2.25,3,2,1,3.0625,90,3.265625,3.56,3.425,1.25
1131,1,1, ,88.31,85,1.1,3.3375,2.825,3.2375,3.27,3.075,3.013333333,3.666666667,3.675,3.16,3.13,2.76,3.5, ,3.55,3.125,3.6,3.2,3.15,3,3.25,3.9,4.05,2.95,2.2,3.45,2.2,3.5,2.7,2.6,3.5, ,3.8,3,2.666666667,2.8,2.8,3.2,4,3.8,3.2,3.6,3.75,1.8,2.4,4.2,3.2,2.8,3,2.6,3.4,3,3.6,2.4,3.6,3.2,3.8,3,2.8,2.8,3.2,2,1.5,4.2,4.6,4.6,4,2,3,2.8,1,3.125,85,3.2375,3.013333333,3.16,1.1
1132,1,1, ,89.11,90,1.05,3.55,3.8,3.5,3.45,3.5625,3.76,4.333333333,4,3.7,3.363333333,3.36,3.366666667, ,3.5,3.6,3.55,3.85,3.25,3.35,3.6,3.9,3.9,3.05,2.8,3.7,3.9,3.45,3.55,3.6,3.65, ,4.6,3.8,3.2,3.2,4,2.8,4.2,4.4,4.4,4,4,3.333333333,2.6,2.8,3.8,3.8,3.2,3.4,3.8,2.8,3.8,3,4.4,3.8,4,3.4,2.8,3.6,3.8,3.2,2.5,3.4,4.6,4,4.2,1.8,3,2.6,1,3.6,90,3.5,3.76,3.7,1.05
2101,1,1, ,88,93,1,4.4,4.325,4.3125,4,4.4875,3.76,4.333333333,3.475,4.42,3.883333333,3.6,4.166666667, ,4.5,4.3,4,4.5,4.5,4.25,4.15,5,5,3.7,2.15,4.45,4.2,4.4,4.5,4.4,4.65, ,3.8,4.2,4.2,3.6,3,1.8,4.4,4.4,4.2,3.2,3.75,3,2.4,3,4.2,3.6,4.2,4.6,4.6,1.8,4.4,4.6,4.8,4.4,4.8,3,3,4,4.2,3.8,2.4,3.6,5,5,3.8,2.8,4.4,4,1,4.3,93,4.3125,3.76,4.42,1
2102,1,1, ,90,92,1.166666667,3.516666667,3.58,3.616666667,3.512,3.46,3.48,3.5,2.75,3.86,3.175,3.05,3.3, ,3.333333333,3.7,3.766666667,3.4,3.466666667,3.833333333,3.2,4,3.64,3.52,3.2,3.32,3.84,3.68,3.4,3.32,3.44, ,3.5,4.166666667,3.4,2.666666667,3.666666667,2.666666667,3.333333333,3.666666667,3.5,3,2.5,3,3.333333333,3,4,4.2,2,3.6,4,3.6,3.8,3.8,4.6,4,4.6,3.25,2.8,3.4,3.6,2.2,3.2,2.8,4.4,4,3.4,2.6,3.2,2.2,1,3.7,92,3.616666667,3.48,3.86,1.166666667
2103,1,1, ,83.1,84,1.1875,3.28125,4.0125,2.828125,3.66,4.0375,3.566666667,3.5,3.041666667,3.2,2.686666667,2.44,2.933333333, ,2.8125,3.75,3.4375,3.125,1.9375,2.8125,3.75,4.35,4.15,3.15,2.9,3.9,4.125,4.1,3.9,4,4.15, ,3.5,4,2.333333333,4,4,3.5,3.5,3.25,3.75,3.75,2.333333333,3.5,3.5,2.75,2.6,2.6,2.2,2.8,2.8,3.8,4.2,3.8,3.4,3.8,3.8,2.2,2.4,2,2.2,3.4,3,3,4.2,3.6,3,1.8,2.6,2.4,1,3.75,84,2.828125,3.566666667,3.2,1.1875
2104,0,1, ,86,90,1,3.583333333,3.333333333,3.666666667,3.488888889,3.527777778,3.2,3.888888889,2.833333333,3.3,3.005555556,2.733333333,3.277777778, ,3.5,3.666666667,3.666666667,4,3,4,3.444444444,3.555555556,4.222222222,3.111111111,3.111111111,4.222222222,2.444444444,4.111111111,3.444444444,3.111111111,3.444444444, ,4,3.333333333,3,2.666666667,3,3,4,4,3.666666667,2.666666667,3,2.333333333,3,3.666666667,3.333333333,2.666666667,1.666666667,3,3,4.333333333,4,3,4.333333333,3.666666667,4.333333333,2.666666667,2.333333333,3,3,2.666666667,2.666666667,3.333333333,4.333333333,4.333333333,3.333333333,2,3,2.666666667,0,3.666666667,90,3.666666667,3.2,3.3,1
2105,1,1, ,94,91,1.3,3.375,3.5,3.046875,3.4,3.5625,3.5,4.166666667,2.5,3.713333333,3.486666667,3.44,3.533333333, ,3.3125,3.4375,3,3.125,2.875,3.1875,3.4,3.65,3.85,3.25,2.85,3.2,3.8,3.55,3.7,3.6,3.4, ,3.25,3.75,3.5,4.25,2.75,2.5,4,4.25,4.25,2.5,2.5,2.5,3.25,3.25,4,3.2,3.333333333,3.8,3.4,2.8,3.8,3.2,4.2,4.2,4,3.4,3,4,3.8,3,3.666666667,2.6,4.4,4.4,3.8,2.6,3.2,2.8,1,3.4375,91,3.046875,3.5,3.713333333,1.3
2201,1,1, ,86.5,93,1.24,3.8,3.94,3.1,3.712,3.23,3.65,3.466666667,3.5,3.76,3.163333333,2.76,3.566666667, ,3.64,3.96,3.45,3.05,2.6,3.3,3.44,4.52,4.44,3.44,2.72,3.96,3.92,3.44,3.2,2.96,3.32, ,3.6,3.4,4.25,3.8,3.2,2,3.2,3.4,3.8,3.4,3.6,3,2.4,3,2.8,3.4,3.2,3.6,3.8,2.8,4.4,3.2,4,4.4,4.8,3,1.8,3.2,3.8,2,3,3,4.8,4.4,4,2.4,3.2,2.6,1,3.96,93,3.1,3.65,3.76,1.24
2202,1,1, ,92.8,90.5,1.12,3.8,3.7,3.35,3.654,3.55,3.9,3.733333333,4,3.78,3.536666667,3.24,3.833333333, ,3.88,3.72,3.333333333,3.066666667,3.4,3.6,3.88,4.19,4.16,3.32,2.72,3.72,3.68,3.88,3.8,3.04,3.48, ,4.2,4,3.5,4,3.8,2.6,3.8,4,3.4,4.2,3.8,2.8,2.2,3.2,4,2.6,4,3.6,4.2,2,3.6,4.2,3.6,3.8,4.2,3.4,2.6,3.4,4,2.8,3,3,4.8,4.8,3.8,1.4,4.4,3.8,1,3.72,90.5,3.35,3.9,3.78,1.12
